sector,top_supplier_country,total_sector_import_value,top_supplier_import_value,top_supplier_share,concentration_risk_level
Aluminum and articles,CANADA,142939043695,55756500952,0.3900718761696204,Medium
Vehicles / auto parts,MEXICO,1689978003255,593145612716,0.3509783036072456,Medium
Nickel and articles,CANADA,18473945458,5866483217,0.3175544298502605,Medium
Electronics / electrical machinery,CHINA,2306523837145,600899309801,0.2605216127073671,Low
Pharmaceuticals,IRELAND,913911227625,189478458695,0.2073269842492269,Low
Machinery / computers,MEXICO,2500002706608,492393596766,0.19695722547199915,Low
Critical minerals / ores,CANADA,17064777595,3201380129,0.18760163214421313,Low
Medical / precision instruments,MEXICO,579251347668,104355399991,0.18015564471472179,Low
Other base metals,CHINA,17284951727,2889842427,0.16718834235943597,Low
